kingdom	full.seqID	domain	phylum	class	order	family	genus	species	abb
Fungi	1047171.Mycgr3P85170	Eukarya	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria tritici	Eukarya_26
Fungi	430998.XP_007673696.1	Eukarya	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Baudoinia	Baudoinia compniacensis	Eukarya_27
Fungi	5022.CBX97485	Eukarya	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	Leptosphaeria maculans	Eukarya_28
Fungi	13684.SNOT_13852	Eukarya	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	Parastagonospora nodorum	Eukarya_29
Fungi	5016.M2TVB6	Eukarya	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris maydis	Eukarya_30
Fungi	293227.XP_008718638.1	Eukarya	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora europaea	Eukarya_31
Fungi	5970.XP_009160565.1	Eukarya	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala dermatitidis	Eukarya_32
Fungi	69781.S8ATI5	Eukarya	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium oxalicum	Eukarya_33
Fungi	264951.V5FWS3	Eukarya	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	Byssochlamys spectabilis	Eukarya_34
Fungi	28564.XP_002478892.1	Eukarya	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces stipitatus	Eukarya_35
Fungi	5039.XP_002621431.1	Eukarya	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces dermatitidis	Eukarya_36
Fungi	63402.XP_003174679.1	Eukarya	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Nannizzia	Nannizzia gypsea	Eukarya_37
Fungi	364733.XP_007785445.1	Eukarya	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Endocarpon	Endocarpon pusillum	Eukarya_38
Fungi	655981.L8FWM8	Eukarya	Ascomycota	Leotiomycetes		Pseudeurotiaceae	Pseudogymnoascus	Pseudogymnoascus destructans	Eukarya_39
Fungi	34373.CCU82114	Eukarya	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	Blumeria graminis	Eukarya_40
Fungi	698440.XP_007288274.1	Eukarya	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Marssonina	Marssonina brunnea	Eukarya_41
Fungi	101852.XP_008079718.1	Eukarya	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Glarea	Glarea lozoyensis	Eukarya_42
Fungi	40559.M7V1T3	Eukarya	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis cinerea	Eukarya_43
Fungi	13349.G1X446	Eukarya	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys	Arthrobotrys oligospora	Eukarya_44
Fungi	337075.U4L4W9	Eukarya	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pyronema	Pyronema omphalodes	Eukarya_45
Fungi	39416.CAZ85372	Eukarya	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	Tuber melanosporum	Eukarya_46
Fungi	42068.L0PE33	Eukarya	Ascomycota	Pneumocystidomycetes	Pneumocystidales	Pneumocystidaceae	Pneumocystis	Pneumocystis jirovecii	Eukarya_47
